apo VV Defensiv - Privat, Defensiv, 8, 1J, 1.92%, 2.67%
AURETAS strategy defensive (D) C, Defensiv, 8, 1J, -1.27%, 2.5%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 8, 1J, 1.1%, 0.84%
BERENBERG-1590-STIFTUNG, Defensiv, 8, 1J, 1.86%, 2.31%
Bethmann Stiftungsfonds P, Defensiv, 8, 1J, 0.81%, 2.78%
BHF Total Return FT, Defensiv, 8, 1J, 1.49%, 2.42%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 8, 1J, 0.98%, 2.14%
Credit Suisse MACS Classic 20 P, Defensiv, 8, 1J, 1.58%, 2.73%
D&R Konservative Strategi.Eur. P, Defensiv, 8, 1J, 0.48%, 2.38%
D&R Substanz, Defensiv, 8, 1J, -1.11%, 1.23%
FO Vermögensverwalterfonds, Defensiv, 8, 1J, 4.12%, 1.62%
FOS Performance und Sicherheit, Defensiv, 8, 1J, -0.36%, 1.18%
Hamburger Stiftungsfonds T, Defensiv, 8, 1J, 1.62%, 3.27%
Haspa PB Strategie - Rendite, Defensiv, 8, 1J, 1.75%, 2.64%
HVB Verm.depot privat Def. PI, Defensiv, 8, 1J, -1.24%, 2.66%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 8, 1J, 3.04%, 5.87%
Metzler Vermögensverw.fonds 30 A, Defensiv, 8, 1J, 0.72%, 3.28%
Metzler Wertsicherungsfonds 93 A, Defensiv, 8, 1J, 1.7%, 2.48%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 8, 1J, 1.55%, 2.53%
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 8, 1J, -0.65%, 1.43%
UBS (D) Konzeptfonds III, Defensiv, 8, 1J, 1.21%, 2.66%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 8, 1J, 2.27%, 2.37%
UniStrategie: Konservativ, Defensiv, 8, 1J, 1.63%, 2.52%
WARBURG-DEFENSIV-FONDS I, Defensiv, 8, 1J, 8.24%, 2.66%
apo VV Defensiv - Privat, Defensiv, 8, 3J, 6.81%, 3.8%
AURETAS strategy defensive (D) C, Defensiv, 8, 3J, 7.35%, 3.41%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 8, 3J, 4.57%, 1.1%
BERENBERG-1590-STIFTUNG, Defensiv, 8, 3J, 3.49%, 3.04%
Bethmann Stiftungsfonds P, Defensiv, 8, 3J, 7.54%, 4.25%
BHF Total Return FT, Defensiv, 8, 3J, 7.34%, 3.82%
