Indikator,Symbol
Moving Average,add_MA
Simple Moving Average,add_SMA
Exponential Moving Average,add_EMA
Weighted Moving Average,add_WMA
Double Exponential Moving Average,add_DEMA
Triple Moving Exponential Average,add_TEMA
T3 Exponential Moving Average,add_T3
Kaufmann Adaptive Moving Average,add_KAMA
Triangular Moving Average,add_TRIMA
MESA Adaptive Moving Average,add_MAMA
Moving Average with Variable Period,add_MAVP
Bollinger Bands,add_BBANDS
Hilert Transform Instantaneous Trendline,add_HT_TRENDLINE
Midpoint Price over Period,add_MIDPOINT
Parabolic SAR,add_SAR
Parabolic SAR Extended,add_SAREXT
Absolute Price Oscillator,add_APO
Aroon indicators,add_AROON
Aroon Oscillator,add_AROONOSC
Balance of Power,add_BOP
Channel Commodity Index,add_CCI
Chande Momentum Indicator,add_CMO
Average Directional Movement Index,add_ADX
Average Directional Movement Index Rating,add_ADXR
Directional Movement Index,add_DX
Minus Directional Indicator,add_MINUS_DI
Plus Directional Indicator,add_PLUS_DI
Minus Directional Movement,add_MINUS_DM
Plus Directional Movement,add_PLUS_DM
Moving Average Convergence Divergence,add_MACD
Moving Average Convergence Divergence with Controllable MA Type,add_MACDEXT
Money Flow Index,add_MFI
Momentum Indicator,add_MOM
Percent Price Oscillator,add_PPO
Rate of Change,add_ROC
Rate of Change (Percentage),add_ROCP
Rate of Change (Ratio),add_ROCR
Rate of Change (Ratio * 100),add_ROCR100
Relative Strength Index,add_RSI
Slow Stochastic Oscillator,add_STOCH
Fast Stochastic Oscillator,add_STOCHF
Stochastic Relative Strength Index,add_STOCHRSI
1-day Rate of Change of Triple Smooth EMA,add_TRIX
Ultimate Oscillator,add_ULTOSC
Williams %R,add_WILLR
